Daily Health Metrics,,,,,,,,
Metric,Value / Option,Description,Normal,Caution,Vet recommended,Emergency,Consecutive Days Rule,User Feedback (Example)
Appetite Score,4,Ate all food,Yes,,,,,"""Great appetite! Your cat ate well today."""
,3,Ate >80%,Yes,,,,,"""Ate slightly less than usual, but still normal."""
,2,Ate <50%,,Day 1,Day 2,,"Day1→Caution, Day2→Vet recommended","""Eating less today. Monitor. If continues 2 days, see vet."""
,1,Refuses treats,,,,Day 1,Direct Emergency,"""Emergency: Cat refuses to eat! Contact vet immediately."""
Food Ratio (actual/suggested),≥120%,Ate >20% over,,Day 1,,,Direct Caution,"""Ate too much! Consider reducing to ___ grams."""
,80-120%,Ideal range,Yes,,,,,"""Food intake is perfect. Keep it up!"""
,50-80%,Ate half to 80%,,Day 1-2,Day 3,,Day3→Vet recommended,"""Eating less than usual. Monitor."""
,<50%,Ate less than half,,,Day 1,,Direct Vet recommended,"""Eating too little. May be sick. See a vet."""
Water Intake,Normal,Normal drinking,Yes,,,,,"""Hydration is good!"""
,Low,Rarely drinks,,Day 1,Day 2,,"Day1→Caution, Day2→Vet recommended","""Low water intake. Encourage drinking."""
,High,Drinks excessively,,Day 1,Day 2,,"Day1→Caution, Day2→Vet recommended","""High water intake. Possible diabetes/kidney issue."""
Stool Condition,Normal,"Formed, firm",Yes,,,,,"""Stool is normal. Healthy digestion."""
,Soft,Soft serve,,Day 1-2,Day 3,,"Day1-2→Caution, Day3→Vet recommended","""Slightly soft stool. Observe."""
,Watery,Liquid,,,Day 1,Day 2,"Day1→Vet recommended, Day2→Emergency","""Watery diarrhea. Hydrate and see vet."""
,Constipated,Hard pellets / no stool >2d,,Day 1-2,Day 3,,"Day1-2→Caution, Day3→Vet recommended","""Constipated. Increase water/fiber."""
Urine Frequency,2-3 times,Normal,Yes,,,,,"""Urine frequency normal."""
,<2 times,Less than 2,,Day 1,Day 2,,"Day1→Caution, Day2→Vet recommended","""Low urine output. Encourage water."""
,>4 times,More than 4,,Day 1,Day 2,,"Day1→Caution, Day2→Vet recommended","""Frequent urination. Possible kidney/diabetes."""
Activity Score,4,Very active,Yes,,,,,"""Very playful! Great energy."""
,3,Active,Yes,,,,,"""Normal activity. Good!"""
,2,Slightly lethargic,,Day 1,Day 2,,"Day1→Caution, Day2→Vet recommended","""Less active today. Monitor."""
,1,Lethargic / barely moves,,,Day 1,Day 2,"Day1→Vet recommended, Day2→Emergency","""Barely moving. See vet if continues."""
Resting Breath Rate,15-30 bpm,Normal,Yes,,,,,"""Breathing normal."""
,<15 bpm,Slow,,Day 1,,,Direct Caution,"""Slow breathing. Recheck in calm state."""
,31-40 bpm,Fast,,Day 1,,,Direct Caution,"""Fast breathing. Could be stress/heat. Recheck."""
,>40 bpm,Very fast,,,,Day 1,Direct Emergency,"""Emergency: Rapid breathing. Possible heart/lung issue. Contact vet now!"""
Vomiting,0,No vomiting,Yes,,,,,"""No vomiting. Stomach stable."""
,1 time,Once,,Day 1,Day 2,,"Day1→Caution, Day2→Vet recommended","""Vomited once. Possibly hairball. Observe."""
,≥2 times,Two or more,,,Day 1,,Direct Vet recommended,"""Vomited twice or more. See vet."""
Tear Staining,No,No tears,Yes,,,,,"""Eyes clear and healthy."""
,Yes,Excessive tearing,,Day 1-2,Day 3,,"Day1-2→Caution, Day3→Vet recommended","""Excessive tearing. Check for allergies/infection."""
Abnormal Behavior,No,Normal,Yes,,,,,"""Behavior normal. Cat is calm."""
,Yes,"Hiding, aggression, yowling, over-grooming",,Day 1,Day 2,,"Day1→Caution, Day2→Vet recommended","""Abnormal behavior. Possible stress or pain."""
Gum Appearance,Normal,"Pink, no odor",Yes,,,,,"""Gums healthy."""
,Red,Inflamed/red,,Day 1,Day 7,,"Day1→Caution, Day7→Vet recommended","""Red gums. Monitor oral health."""
,Pale,Pale color,,,Day 1,,Direct Vet recommended,"""Pale gums. Possible anemia. See vet."""
,Foul odor,Bad smell,,,Day 1,,Direct Vet recommended,"""Bad breath. Possible kidney or dental disease."""
Medication,Taken,Taken as prescribed,Yes,,,,,"""Medication taken. Good!"""
,Missed,Missed dose,,Day 1,Day 2,Day 3 (certain drugs),"Day1→Caution, Day2→Vet recommended, Day3→Emergency","""Missed medication. Take as soon as possible."""
,Not required,No medication today,Yes,,,,,"""No medication today."""
